Year,Day.Peak.Bloom,Peak.Date,JanTemp,FebTemp,MarTemp,JanSnow,FebSnow,MarSnow,Last.Frost,Green.Buds,Florets.Visible
1921,79,20-Mar,36.6,39,55.5,1.5,3.1,0,101,,
1922,97,7-Apr,32,38.6,45.4,31.5,3,2.5,82,,
1923,99,9-Apr,36.8,32.6,45.4,3.1,3.9,6.5,105,,
1924,104,13-Apr,35,34.2,42.6,0.5,4.9,9.3,94,,
1925,86,27-Mar,32.9,43,46.4,18,0,0,111,,
1926,101,11-Apr,33.8,36.5,40.1,3.4,11.8,0,110,,
1927,79,20-Mar,34,42.1,47.6,0.3,1,0,84,,
1928,99,8-Apr,35.9,37.6,44.1,10.6,0,0.5,109,,
1929,90,31-Mar,34.9,35,50.2,0.3,7,0,70,,
1930,91,1-Apr,35.6,41.9,45,14,1.5,0,82,,
1931,101,11-Apr,37,39.4,41.3,0,0,0,80,,
1932,106,15-Apr,46.8,42.9,40,0,0,4,76,,
1933,99,9-Apr,42.6,38.4,43,0,8.3,1,89,,
1934,105,15-Apr,39.1,24.6,41.2,0,18.1,9.1,88,,
1935,91,1-Apr,33.3,35.4,50.2,24.4,3.5,0.5,106,,
1936,98,7-Apr,30.6,29.6,50.3,2.3,18.5,0,99,,
1937,104,14-Apr,43.8,36.6,42.1,0,7.7,11,87,,
1938,84,25-Mar,35.7,40.9,49.8,1.5,1.4,2.5,70,,
1939,89,30-Mar,37.8,42.3,46.4,6.3,0.3,0,103,,
1940,104,13-Apr,24.9,37.1,40.7,15.3,4.3,0.4,105,,
1941,102,12-Apr,34.8,33.8,39.8,3.2,2,11.2,90,,
1942,95,5-Apr,34.9,34.2,47.4,1.8,0.1,11.5,89,,
1943,94,4-Apr,36.2,38.8,45.4,6.2,0.7,7.9,106,,
1944,100,9-Apr,37.4,38.2,43,4.1,2.1,1.2,97,,
1945,79,20-Mar,30.8,38.4,56.2,3.3,2.6,0,64,,
1946,82,23-Mar,36.8,39.2,53,6.8,4.5,0,71,,
1947,103,12-Apr,41.7,31.4,40,4.1,10.3,3.4,90,,
1948,88,28-Mar,28.8,36.8,48,12.1,7.7,0,89,,
1949,88,29-Mar,42.6,43.8,46.6,7.4,4,0,79,,
1950,99,9-Apr,48,38.7,41.7,0.3,0,3.1,105,,
1951,96,6-Apr,39.3,38.6,45.6,0.8,3,1,86,,
1952,100,9-Apr,40.7,41.1,43.3,1.6,0,3.8,85,,
1953,86,27-Mar,40.7,42.6,47.5,1.3,0.2,3.1,70,,
1954,96,6-Apr,35.9,43.5,44.5,11.3,0,0,94,,
1955,92,2-Apr,35.4,37.8,47.1,2.3,4.2,0,88,,
1956,97,6-Apr,34.5,41.1,43.2,4.5,0,4,112,,
1957,98,8-Apr,32.9,41.4,45.8,10.1,1.6,2.2,70,,
1958,108,18-Apr,34.4,31.2,41.4,0.3,17.2,10.6,79,,
1959,96,6-Apr,34.9,39,45.4,4,0,0,88,,
1960,105,14-Apr,38.2,38.3,35.6,0,7.2,17.1,87,,
1961,92,2-Apr,29.8,38.3,47.6,13.6,18,0,93,,
1962,97,7-Apr,34.6,34.6,44.2,2,6.5,4,94,,
1963,93,3-Apr,31.4,31,48.5,2.1,2,1.1,82,,
1964,102,11-Apr,36.3,36.9,47.5,8.9,11.7,6.2,96,,
1965,105,15-Apr,33.4,36.8,41.4,9.1,1.9,5.4,95,,
1966,95,5-Apr,32.4,36.2,47.5,21.3,6.9,0,88,,
1967,96,6-Apr,41,34,45,1.3,19,0.7,102,,
1968,90,30-Mar,31.4,34.3,49.7,2.8,2.4,3,75,,
1969,99,9-Apr,34.2,36.9,43,0.2,2.2,6.7,91,,
1970,106,16-Apr,30,37.1,41.9,3.6,3.6,0,89,,
1971,98,8-Apr,31.3,39.1,43.2,4.8,0.3,1.4,90,,
1972,102,11-Apr,38.5,36.5,45.6,0.3,14.4,0,100,,
1973,101,11-Apr,37.6,37,51.1,0,0.1,0,104,,
1974,93,3-Apr,42.9,39.2,49.2,1.5,4.2,0,85,,
1975,93,3-Apr,40.9,40.6,45.2,6.6,5.8,0.3,86,,
1976,83,23-Mar,33.9,46.9,51.3,0.1,0.9,0.8,103,,
1977,85,26-Mar,25.4,38.8,52.7,9.7,0,0,99,,
1978,102,12-Apr,32.5,31.4,44.4,10.3,3.8,8.3,77,,
1979,92,2-Apr,35.1,28.4,51.5,4,30.6,0,75,,
1980,97,6-Apr,37.2,36.1,46.2,8.6,5.1,6.1,73,,
1981,93,3-Apr,33,43.7,47.6,4.2,0,0,79,,
1982,97,7-Apr,28.1,38.3,45.7,15.3,5.3,0.2,98,,
1983,97,7-Apr,38.1,38.7,48.8,0,21,0,89,,
1984,94,3-Apr,32.2,43.8,41.8,6.5,0,1.8,84,,
1985,97,7-Apr,30.8,37.8,47.7,10,0,0,100,,
1986,92,2-Apr,35.4,35.3,47.4,1.8,12.9,0,82,,
1987,87,28-Mar,34.7,37,47.7,20.8,10.3,0,91,,
1988,91,31-Mar,31,37.3,47.2,13.1,0,0.4,83,,
